id,name,state,population
1,Autauga County,Alabama,56253
2,Baldwin County,Alabama,220578
3,Barbour County,Alabama,25173
4,Bibb County,Alabama,22663
5,Blount County,Alabama,58518
6,Bullock County,Alabama,10257
7,Butler County,Alabama,19911
8,Calhoun County,Alabama,115617
9,Chambers County,Alabama,34009
10,Cherokee County,Alabama,26337
11,Chilton County,Alabama,44671
12,Choctaw County,Alabama,12992
13,Clarke County,Alabama,24200
14,Clay County,Alabama,13431
15,Cleburne County,Alabama,15163
16,Coffee County,Alabama,52518
17,Colbert County,Alabama,55404
18,Conecuh County,Alabama,12421
19,Coosa County,Alabama,10841
20,Covington County,Alabama,37420
21,Crenshaw County,Alabama,13986
22,Cullman County,Alabama,84420
23,Dale County,Alabama,49530
24,Dallas County,Alabama,38759
25,DeKalb County,Alabama,72222
26,Elmore County,Alabama,82847
27,Escambia County,Alabama,37179
28,Etowah County,Alabama,103703
29,Fayette County,Alabama,16626
30,Franklin County,Alabama,31731
31,Geneva County,Alabama,26622
32,Greene County,Alabama,8330
33,Hale County,Alabama,14899
34,Henry County,Alabama,17411
35,Houston County,Alabama,105950
36,Jackson County,Alabama,52342
37,Jefferson County,Alabama,667029
38,Lamar County,Alabama,14006
39,Lauderdale County,Alabama,93470
40,Lawrence County,Alabama,33343
41,Lee County,Alabama,165863
42,Limestone County,Alabama,97301
43,Lowndes County,Alabama,10091
44,Macon County,Alabama,18655
45,Madison County,Alabama,370816
46,Marengo County,Alabama,19290
47,Marion County,Alabama,30112
48,Marshall County,Alabama,97236
49,Mobile County,Alabama,418607
50,Monroe County,Alabama,21314
51,Montgomery County,Alabama,228410
52,Morgan County,Alabama,120485
53,Perry County,Alabama,9247
54,Pickens County,Alabama,20172
55,Pike County,Alabama,33729
56,Randolph County,Alabama,22991
57,Russell County,Alabama,58458
58,St. Clair County,Alabama,89730
59,Shelby County,Alabama,218236
60,Sumter County,Alabama,12840
61,Talladega County,Alabama,80764
62,Tallapoosa County,Alabama,40972
63,Tuscaloosa County,Alabama,211360
64,Walker County,Alabama,64458
65,Washington County,Alabama,16570
66,Wilcox County,Alabama,10752
67,Winston County,Alabama,23937
68,Aleutians East Borough,Alaska,3556
69,Aleutians West Census Area,Alaska,5790
70,Anchorage Municipality,Alaska,294956
71,Bethel Census Area,Alaska,18430
72,Bristol Bay Borough,Alaska,887
73,Denali Borough,Alaska,2083
74,Dillingham Census Area,Alaska,5059
75,Fairbanks North Star Borough,Alaska,100131
76,Haines Borough,Alaska,2503
77,Hoonah-Angoon Census Area,Alaska,2176
78,Juneau City and Borough,Alaska,32489
79,Kenai Peninsula Borough,Alaska,59219
80,Ketchikan Gateway Borough,Alaska,14081
81,Kodiak Island Borough,Alaska,13501
82,Kusilvak Census Area,Alaska,8400
83,Lake and Peninsula Borough,Alaska,1606
84,Matanuska-Susitna Borough,Alaska,108871
85,Nome Census Area,Alaska,10125
86,North Slope Borough,Alaska,9988
87,Northwest Arctic Borough,Alaska,7761
88,Petersburg Borough,Alaska,3259
89,Prince of Wales-Hyder Census Area,Alaska,6497
90,Sitka City and Borough,Alaska,8748
91,Skagway Municipality,Alaska,1161
92,Southeast Fairbanks Census Area,Alaska,6999
93,Valdez-Cordova Census Area,Alaska,9271
94,Wrangell City and Borough,Alaska,2532
95,Yakutat City and Borough,Alaska,611
96,Yukon-Koyukuk Census Area,Alaska,5389
97,Apache County,Arizona,72660
98,Cochise County,Arizona,128256
99,Coconino County,Arizona,144529
100,Gila County,Arizona,54521
101,Graham County,Arizona,38518
102,Greenlee County,Arizona,9594
103,La Paz County,Arizona,21345
104,Maricopa County,Arizona,4462530
105,Mohave County,Arizona,212006
106,Navajo County,Arizona,111740
107,Pima County,Arizona,1051254
108,Pinal County,Arizona,452380
109,Santa Cruz County,Arizona,47056
110,Yavapai County,Arizona,234713
111,Yuma County,Arizona,214615
112,Arkansas County,Arkansas,17977
113,Ashley County,Arkansas,20281
114,Baxter County,Arkansas,42107
115,Benton County,Arkansas,275804
116,Boone County,Arkansas,37919
117,Bradley County,Arkansas,11025
118,Calhoun County,Arkansas,5339
119,Carroll County,Arkansas,28554
120,Chicot County,Arkansas,10560
121,Clark County,Arkansas,22320
122,Clay County,Arkansas,15021
123,Cleburne County,Arkansas,25258
124,Cleveland County,Arkansas,8112
125,Columbia County,Arkansas,23813
126,Conway County,Arkansas,21136
127,Craighead County,Arkansas,109831
128,Crawford County,Arkansas,64149
129,Crittenden County,Arkansas,48909
130,Cross County,Arkansas,16871
131,Dallas County,Arkansas,7266
132,Desha County,Arkansas,11647
133,Drew County,Arkansas,18543
134,Faulkner County,Arkansas,126269
135,Franklin County,Arkansas,18019
136,Fulton County,Arkansas,12413
137,Garland County,Arkansas,100316
138,Grant County,Arkansas,18401
139,Greene County,Arkansas,45856
140,Hempstead County,Arkansas,21996
141,Hot Spring County,Arkansas,34096
142,Howard County,Arkansas,13497
143,Independence County,Arkansas,38120
144,Izard County,Arkansas,13752
145,Jackson County,Arkansas,17008
146,Jefferson County,Arkansas,68912
147,Johnson County,Arkansas,27055
148,Lafayette County,Arkansas,6760
149,Lawrence County,Arkansas,16627
150,Lee County,Arkansas,9090
151,Lincoln County,Arkansas,13540
152,Little River County,Arkansas,12470
153,Logan County,Arkansas,21992
154,Lonoke County,Arkansas,74520
155,Madison County,Arkansas,16674
156,Marion County,Arkansas,16918
157,Miller County,Arkansas,44103
158,Mississippi County,Arkansas,41722
159,Monroe County,Arkansas,6981
160,Montgomery County,Arkansas,9029
161,Nevada County,Arkansas,8424
162,Newton County,Arkansas,7896
163,Ouachita County,Arkansas,23883
164,Perry County,Arkansas,10473
165,Phillips County,Arkansas,18240
166,Pike County,Arkansas,10798
167,Poinsett County,Arkansas,24255
168,Polk County,Arkansas,20284
169,Pope County,Arkansas,64750
170,Prairie County,Arkansas,8169
171,Pulaski County,Arkansas,397283
172,Randolph County,Arkansas,18158
173,St. Francis County,Arkansas,25737
174,Saline County,Arkansas,122844
175,Scott County,Arkansas,10440
176,Searcy County,Arkansas,8051
177,Sebastian County,Arkansas,129251
178,Sevier County,Arkansas,17340
179,Sharp County,Arkansas,17570
180,Stone County,Arkansas,12603
181,Union County,Arkansas,39585
182,Van Buren County,Arkansas,16798
183,Washington County,Arkansas,239739
184,White County,Arkansas,79650
185,Woodruff County,Arkansas,6566
186,Yell County,Arkansas,21787
187,Alameda County,California,1686292
188,Alpine County,California,1114
189,Amador County,California,39845
190,Butte County,California,233967
191,Calaveras County,California,46137
192,Colusa County,California,21881
193,Contra Costa County,California,1163699
194,Del Norte County,California,28154
195,El Dorado County,California,192913
196,Fresno County,California,1006057
197,Glenn County,California,28376
198,Humboldt County,California,137972
199,Imperial County,California,183958
200,Inyo County,California,18198
201,Kern County,California,907276
202,Kings County,California,153140
203,Lake County,California,65137
204,Lassen County,California,31163
205,Los Angeles County,California,10223980
206,Madera County,California,159520
207,Marin County,California,262710
208,Mariposa County,California,17676
209,Mendocino County,California,88633
210,Merced County,California,277986
211,Modoc County,California,8880
212,Mono County,California,14417
213,Monterey County,California,440700
214,Napa County,California,141051
215,Nevada County,California,100865
216,Orange County,California,3223316
217,Placer County,California,397758
218,Plumas County,California,19024
219,Riverside County,California,2479487
220,Sacramento County,California,1559039
221,San Benito County,California,62258
222,San Bernardino County,California,2197060
223,San Diego County,California,3382557
224,San Francisco County,California,893660
225,San Joaquin County,California,761483
226,San Luis Obispo County,California,287339
227,San Mateo County,California,778566
228,Santa Barbara County,California,451761
229,Santa Clara County,California,1960283
230,Santa Cruz County,California,277470
231,Shasta County,California,182151
232,Sierra County,California,3022
233,Siskiyou County,California,44237
234,Solano County,California,451845
235,Sonoma County,California,505803
236,Stanislaus County,California,556260
237,Sutter County,California,97942
238,Tehama County,California,64665
239,Trinity County,California,12682
240,Tulare County,California,471322
241,Tuolumne County,California,55178
242,Ventura County,California,860943
243,Yolo County,California,222992
244,Yuba County,California,78956
245,Adams County,Colorado,517868
246,Alamosa County,Colorado,16879
247,Arapahoe County,Colorado,658849
248,Archuleta County,Colorado,13926
249,Baca County,Colorado,3627
250,Bent County,Colorado,5951
251,Boulder County,Colorado,329900
252,Broomfield County,Colorado,70079
253,Chaffee County,Colorado,20262
254,Cheyenne County,Colorado,1898
255,Clear Creek County,Colorado,9718
256,Conejos County,Colorado,8296
257,Costilla County,Colorado,3873
258,Crowley County,Colorado,5927
259,Custer County,Colorado,5012
260,Delta County,Colorado,31316
