#Num    Date      All    US   Italy  all_deaths  us_deaths  italy_deaths
1    01212020      0     0      0        0          0            0
2    01222020      0     0      0        0          0            0
3    01232020      1     0      0        0          0            0
4    01242020     11     0      0        0          0            0
5    01252020      7     0      0        0          0            0
6    01262020     10     0      0        0          0            0
7    01272020      9     0      0        0          0            0
8    01282020     17     0      0        0          0            0
9    01292020     19     0      0        0          0            0
10   01302020     19     0      0        0          0            0
11   01312020     14     0      0        0          0            0
12   02012020     26     0      0        0          0            0
13   02022020     14     0      0        0          0            0
14   02032020      7     3      0        0          0            0
15   02042020      6     0      0        0          0            0
16   02052020     32     0      0        0          0            0
17   02062020     25     1      0        0          0            0
18   02072020     54     0      0        0          0            0
19   02082020     18     0      0        0          0            0
20   02092020     19     0      0        0          0            0
21   02102020     12     0      0        0          0            0
22   02112020     76     1      0        0          0            0
23   02122020     46     0      0        0          0            0
24   02132020      6     1      0        0          0            0
25   02142020     58     1      0        0          0            0
26   02152020     21     0      0        0          0            0
27   02162020    157     0      0        0          0            0
28   02172020    111     0      0        0          0            0
29   02182020     10     0      0        0          0            0
30   02192020    120     0      0        0          0            0
31   02202020    149     0      0        0          0            0
32   02212020    114     0      0        0          0            0
33   02222020    202    20      6        3          0            0
34   02232020    367     0     67        6          0            2
35   02242020    239     0     48        6          0            0
36   02252020    390    18    105       11          0            4
37   02262020    459     0     93       10          0            5
38   02272020    732     6     78       13          0            1
39   02282020   1027     0    250       10          0            5
40   02292020   1318     3    238       19          0            4
41   03012020   1160     0    240       18          0            8
42   03022020   1599     2    561       24          0            6
43   03032020   1792     2    347       38          2           17
44   03042020   2103    44    466       48          4           28
45   03052020   2089    21    587       53          3           27
46   03062020   2727    19    769       69          1           41
47   03072020   3633    65    778       78          1           49
48   03082020   3610     0   1247       71          0           37
49   03092020   3949     0   1492      202          0          132
50   03102020   4105   259   1797      186          8           97
51   03112020   4596   224    977      258          6          168
52   03122020   6703   291   2313      310          4          196
53   03132020   7488   277   2651      335          7          189
54   03142020   9750   414   2547      423          5          252
55   03152020  10955     0   3497      333          0          173
56   03162020  13903     0   3590      862          0          368
57   03172020  11526  1825   3233      475         17          349
58   03182020  15123  1822   3526      786         17          345
59   03192020  16556  3551   4207      828         42          473
60   03202020  24247  3355   5322     1061         50          429
61   03212020  32000  4777   5986     1343         51          625
62   03222020  26069     0   6557     1600          0          795
63   03232020  40788 16354   5560     1727        201          649
64   03242020  39827 10591   4789     1722         69          601
65   03252020  40712  9750   5249     2202        202          743
66   03262020  49219 11656   5210     2401        211          685
67   03272020  46484  4764   6153     2501        107          660
68   03282020  62514 16894   5959     3158        252          971
69   03292020  63159 18093   5974     3398        425          887
70   03302020  58411 19332   5217     3215        444          758
71   03312020  57610 17987   4050     3301        286          810
72   04012020  72736 22559   4053     4193        452          839
73   04022020  72839 24103   4783     4923        996          727
74   04032020  75853 26298   4668     4822        947          760
75   04042020  79332 28103   4585     6664       1061          764
76   04052020  82061 32105   4805     5798       1166          681
77   04062020  77200 33520   4316     4810       1338          527
78   04072020  68766 26493   3599     5020       1201          636
79   04082020  73639 29510   3039     6695       1286          743
